Year,YEAR,Crop,Precipitation,Temperature (Avg),Temperature (Max),Pesticide Usage,Fertilizer Usage,Yield
2017,2017-01-01,"Other citrus fruit, n.e.c.",795.08,22.03,29.75,50801.94,2139573.61,44440
2018,2018-01-01,"Other citrus fruit, n.e.c.",783.02,21.66,29.18,53144.44,2140490.9,45322
2019,2019-01-01,"Other citrus fruit, n.e.c.",721.02,21.88,29.46,48989.2,2086911.73,44910
2020,2020-01-01,"Other citrus fruit, n.e.c.",691.92,22.08,29.92,41681.11,2139664.12,44498
2016,2016-01-01,"Other fruits, n.e.c.",801.73,21.75,29.36,47421.33,2186326.67,65613
2017,2017-01-01,"Other fruits, n.e.c.",795.08,22.03,29.75,50801.94,2139573.61,67966
2018,2018-01-01,"Other fruits, n.e.c.",783.02,21.66,29.18,53144.44,2140490.9,67587
2019,2019-01-01,"Other fruits, n.e.c.",721.02,21.88,29.46,48989.2,2086911.73,67047
2020,2020-01-01,"Other fruits, n.e.c.",691.92,22.08,29.92,41681.11,2139664.12,67532
2016,2016-01-01,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",801.73,21.75,29.36,47421.33,2186326.67,18718
2017,2017-01-01,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",795.08,22.03,29.75,50801.94,2139573.61,18710
2018,2018-01-01,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",783.02,21.66,29.18,53144.44,2140490.9,18702
2019,2019-01-01,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",721.02,21.88,29.46,48989.2,2086911.73,18441
2020,2020-01-01,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",691.92,22.08,29.92,41681.11,2139664.12,18358
2016,2016-01-01,Other pulses n.e.c.,801.73,21.75,29.36,47421.33,2186326.67,8230
2017,2017-01-01,Other pulses n.e.c.,795.08,22.03,29.75,50801.94,2139573.61,8108
2018,2018-01-01,Other pulses n.e.c.,783.02,21.66,29.18,53144.44,2140490.9,8245
2019,2019-01-01,Other pulses n.e.c.,721.02,21.88,29.46,48989.2,2086911.73,8134
2020,2020-01-01,Other pulses n.e.c.,691.92,22.08,29.92,41681.11,2139664.12,8047
2016,2016-01-01,"Other stimulant, spice and aromatic crops, n.e.c.",801.73,21.75,29.36,47421.33,2186326.67,69467
2017,2017-01-01,"Other stimulant, spice and aromatic crops, n.e.c.",795.08,22.03,29.75,50801.94,2139573.61,70045
2018,2018-01-01,"Other stimulant, spice and aromatic crops, n.e.c.",783.02,21.66,29.18,53144.44,2140490.9,70735
2019,2019-01-01,"Other stimulant, spice and aromatic crops, n.e.c.",721.02,21.88,29.46,48989.2,2086911.73,71005
2020,2020-01-01,"Other stimulant, spice and aromatic crops, n.e.c.",691.92,22.08,29.92,41681.11,2139664.12,71144
2016,2016-01-01,"Other tropical fruits, n.e.c.",801.73,21.75,29.36,47421.33,2186326.67,98720
2017,2017-01-01,"Other tropical fruits, n.e.c.",795.08,22.03,29.75,50801.94,2139573.61,98733
2018,2018-01-01,"Other tropical fruits, n.e.c.",783.02,21.66,29.18,53144.44,2140490.9,98769
2019,2019-01-01,"Other tropical fruits, n.e.c.",721.02,21.88,29.46,48989.2,2086911.73,98740
2020,2020-01-01,"Other tropical fruits, n.e.c.",691.92,22.08,29.92,41681.11,2139664.12,98748
2016,2016-01-01,"Other vegetables, fresh n.e.c.",801.73,21.75,29.36,47421.33,2186326.67,83057
2017,2017-01-01,"Other vegetables, fresh n.e.c.",795.08,22.03,29.75,50801.94,2139573.61,83545
2018,2018-01-01,"Other vegetables, fresh n.e.c.",783.02,21.66,29.18,53144.44,2140490.9,83759
2019,2019-01-01,"Other vegetables, fresh n.e.c.",721.02,21.88,29.46,48989.2,2086911.73,83455
2020,2020-01-01,"Other vegetables, fresh n.e.c.",691.92,22.08,29.92,41681.11,2139664.12,83587
2016,2016-01-01,Papayas,801.73,21.75,29.36,47421.33,2186326.67,565946
2017,2017-01-01,Papayas,795.08,22.03,29.75,50801.94,2139573.61,577153
2018,2018-01-01,Papayas,783.02,21.66,29.18,53144.44,2140490.9,580160
2019,2019-01-01,Papayas,721.02,21.88,29.46,48989.2,2086911.73,574942
2020,2020-01-01,Papayas,691.92,22.08,29.92,41681.11,2139664.12,588651
2016,2016-01-01,Peaches and nectarines,801.73,21.75,29.36,47421.33,2186326.67,61329
2017,2017-01-01,Peaches and nectarines,795.08,22.03,29.75,50801.94,2139573.61,64035
2018,2018-01-01,Peaches and nectarines,783.02,21.66,29.18,53144.44,2140490.9,62852
2019,2019-01-01,Peaches and nectarines,721.02,21.88,29.46,48989.2,2086911.73,63067
2020,2020-01-01,Peaches and nectarines,691.92,22.08,29.92,41681.11,2139664.12,66287
2016,2016-01-01,Pears,801.73,21.75,29.36,47421.33,2186326.67,64034
2017,2017-01-01,Pears,795.08,22.03,29.75,50801.94,2139573.61,66960
2018,2018-01-01,Pears,783.02,21.66,29.18,53144.44,2140490.9,73302
2019,2019-01-01,Pears,721.02,21.88,29.46,48989.2,2086911.73,70176
2020,2020-01-01,Pears,691.92,22.08,29.92,41681.11,2139664.12,70967
2016,2016-01-01,"Peas, dry",801.73,21.75,29.36,47421.33,2186326.67,12825
2017,2017-01-01,"Peas, dry",795.08,22.03,29.75,50801.94,2139573.61,14266
2018,2018-01-01,"Peas, dry",783.02,21.66,29.18,53144.44,2140490.9,13064
2019,2019-01-01,"Peas, dry",721.02,21.88,29.46,48989.2,2086911.73,13282
2020,2020-01-01,"Peas, dry",691.92,22.08,29.92,41681.11,2139664.12,13478
2016,2016-01-01,"Peas, green",801.73,21.75,29.36,47421.33,2186326.67,50471
2017,2017-01-01,"Peas, green",795.08,22.03,29.75,50801.94,2139573.61,56810
2018,2018-01-01,"Peas, green",783.02,21.66,29.18,53144.44,2140490.9,54221
2019,2019-01-01,"Peas, green",721.02,21.88,29.46,48989.2,2086911.73,52731
2020,2020-01-01,"Peas, green",691.92,22.08,29.92,41681.11,2139664.12,53083
2016,2016-01-01,"Pepper (Piper spp.), raw",801.73,21.75,29.36,47421.33,2186326.67,17594
2017,2017-01-01,"Pepper (Piper spp.), raw",795.08,22.03,29.75,50801.94,2139573.61,25484
2018,2018-01-01,"Pepper (Piper spp.), raw",783.02,21.66,29.18,53144.44,2140490.9,28691
2019,2019-01-01,"Pepper (Piper spp.), raw",721.02,21.88,29.46,48989.2,2086911.73,28936
2020,2020-01-01,"Pepper (Piper spp.), raw",691.92,22.08,29.92,41681.11,2139664.12,26740
2016,2016-01-01,"Peppermint, spearmint",801.73,21.75,29.36,47421.33,2186326.67,99500
2017,2017-01-01,"Peppermint, spearmint",795.08,22.03,29.75,50801.94,2139573.61,123929
2018,2018-01-01,"Peppermint, spearmint",783.02,21.66,29.18,53144.44,2140490.9,96618
2019,2019-01-01,"Peppermint, spearmint",721.02,21.88,29.46,48989.2,2086911.73,95313
2020,2020-01-01,"Peppermint, spearmint",691.92,22.08,29.92,41681.11,2139664.12,103061
2016,2016-01-01,Persimmons,801.73,21.75,29.36,47421.33,2186326.67,127500
2017,2017-01-01,Persimmons,795.08,22.03,29.75,50801.94,2139573.61,132500
2018,2018-01-01,Persimmons,783.02,21.66,29.18,53144.44,2140490.9,135000
2019,2019-01-01,Persimmons,721.02,21.88,29.46,48989.2,2086911.73,135000
2020,2020-01-01,Persimmons,691.92,22.08,29.92,41681.11,2139664.12,132000
2016,2016-01-01,Pineapples,801.73,21.75,29.36,47421.33,2186326.67,449402
2017,2017-01-01,Pineapples,795.08,22.03,29.75,50801.94,2139573.61,472463
2018,2018-01-01,Pineapples,783.02,21.66,29.18,53144.44,2140490.9,481245
2019,2019-01-01,Pineapples,721.02,21.88,29.46,48989.2,2086911.73,460997
2020,2020-01-01,Pineapples,691.92,22.08,29.92,41681.11,2139664.12,474380
2016,2016-01-01,"Pistachios, in shell",801.73,21.75,29.36,47421.33,2186326.67,4122
2017,2017-01-01,"Pistachios, in shell",795.08,22.03,29.75,50801.94,2139573.61,2913
2018,2018-01-01,"Pistachios, in shell",783.02,21.66,29.18,53144.44,2140490.9,5596
2019,2019-01-01,"Pistachios, in shell",721.02,21.88,29.46,48989.2,2086911.73,3645
2020,2020-01-01,"Pistachios, in shell",691.92,22.08,29.92,41681.11,2139664.12,3954
2016,2016-01-01,Plums and sloes,801.73,21.75,29.36,47421.33,2186326.67,53348
2017,2017-01-01,Plums and sloes,795.08,22.03,29.75,50801.94,2139573.61,56733
2018,2018-01-01,Plums and sloes,783.02,21.66,29.18,53144.44,2140490.9,57241
2019,2019-01-01,Plums and sloes,721.02,21.88,29.46,48989.2,2086911.73,55646
2020,2020-01-01,Plums and sloes,691.92,22.08,29.92,41681.11,2139664.12,55943
2016,2016-01-01,Pomelos and grapefruits,801.73,21.75,29.36,47421.33,2186326.67,265087
2017,2017-01-01,Pomelos and grapefruits,795.08,22.03,29.75,50801.94,2139573.61,249519
2018,2018-01-01,Pomelos and grapefruits,783.02,21.66,29.18,53144.44,2140490.9,244175
2019,2019-01-01,Pomelos and grapefruits,721.02,21.88,29.46,48989.2,2086911.73,249477
2020,2020-01-01,Pomelos and grapefruits,691.92,22.08,29.92,41681.11,2139664.12,247471
2016,2016-01-01,Potatoes,801.73,21.75,29.36,47421.33,2186326.67,279260
2017,2017-01-01,Potatoes,795.08,22.03,29.75,50801.94,2139573.61,289506
2018,2018-01-01,Potatoes,783.02,21.66,29.18,53144.44,2140490.9,298922
2019,2019-01-01,Potatoes,721.02,21.88,29.46,48989.2,2086911.73,305242
2020,2020-01-01,Potatoes,691.92,22.08,29.92,41681.11,2139664.12,319433
2016,2016-01-01,"Pumpkins, squash and gourds",801.73,21.75,29.36,47421.33,2186326.67,184376
2017,2017-01-01,"Pumpkins, squash and gourds",795.08,22.03,29.75,50801.94,2139573.61,194103
2018,2018-01-01,"Pumpkins, squash and gourds",783.02,21.66,29.18,53144.44,2140490.9,203283
2019,2019-01-01,"Pumpkins, squash and gourds",721.02,21.88,29.46,48989.2,2086911.73,200096
2020,2020-01-01,"Pumpkins, squash and gourds",691.92,22.08,29.92,41681.11,2139664.12,220591
2016,2016-01-01,Quinces,801.73,21.75,29.36,47421.33,2186326.67,82534
2017,2017-01-01,Quinces,795.08,22.03,29.75,50801.94,2139573.61,83140
2018,2018-01-01,Quinces,783.02,21.66,29.18,53144.44,2140490.9,87241
2019,2019-01-01,Quinces,721.02,21.88,29.46,48989.2,2086911.73,88385
2020,2020-01-01,Quinces,691.92,22.08,29.92,41681.11,2139664.12,85886
2016,2016-01-01,Rape or colza seed,801.73,21.75,29.36,47421.33,2186326.67,8000
2017,2017-01-01,Rape or colza seed,795.08,22.03,29.75,50801.94,2139573.61,3333
2018,2018-01-01,Rape or colza seed,783.02,21.66,29.18,53144.44,2140490.9,10000
2019,2019-01-01,Rape or colza seed,721.02,21.88,29.46,48989.2,2086911.73,6667
2020,2020-01-01,Rape or colza seed,691.92,22.08,29.92,41681.11,2139664.12,10000
2016,2016-01-01,Raspberries,801.73,21.75,29.36,47421.33,2186326.67,181477
2017,2017-01-01,Raspberries,795.08,22.03,29.75,50801.94,2139573.61,188081
2018,2018-01-01,Raspberries,783.02,21.66,29.18,53144.44,2140490.9,182054
2019,2019-01-01,Raspberries,721.02,21.88,29.46,48989.2,2086911.73,183335
2020,2020-01-01,Raspberries,691.92,22.08,29.92,41681.11,2139664.12,188425
2016,2016-01-01,Rice,801.73,21.75,29.36,47421.33,2186326.67,61345
2017,2017-01-01,Rice,795.08,22.03,29.75,50801.94,2139573.61,63900
2018,2018-01-01,Rice,783.02,21.66,29.18,53144.44,2140490.9,62849
2019,2019-01-01,Rice,721.02,21.88,29.46,48989.2,2086911.73,63663
2020,2020-01-01,Rice,691.92,22.08,29.92,41681.11,2139664.12,62107
2016,2016-01-01,Rye,801.73,21.75,29.36,47421.33,2186326.67,14000
2017,2017-01-01,Rye,795.08,22.03,29.75,50801.94,2139573.61,18333
2018,2018-01-01,Rye,783.02,21.66,29.18,53144.44,2140490.9,18000
2019,2019-01-01,Rye,721.02,21.88,29.46,48989.2,2086911.73,17500
2020,2020-01-01,Rye,691.92,22.08,29.92,41681.11,2139664.12,17778
2016,2016-01-01,Safflower seed,801.73,21.75,29.36,47421.33,2186326.67,18518
2017,2017-01-01,Safflower seed,795.08,22.03,29.75,50801.94,2139573.61,15646
2018,2018-01-01,Safflower seed,783.02,21.66,29.18,53144.44,2140490.9,21968
2019,2019-01-01,Safflower seed,721.02,21.88,29.46,48989.2,2086911.73,18562
2020,2020-01-01,Safflower seed,691.92,22.08,29.92,41681.11,2139664.12,17216
2016,2016-01-01,"Seed cotton, unginned",801.73,21.75,29.36,47421.33,2186326.67,46747
2017,2017-01-01,"Seed cotton, unginned",795.08,22.03,29.75,50801.94,2139573.61,47618
2018,2018-01-01,"Seed cotton, unginned",783.02,21.66,29.18,53144.44,2140490.9,48325
2019,2019-01-01,"Seed cotton, unginned",721.02,21.88,29.46,48989.2,2086911.73,44246
2020,2020-01-01,"Seed cotton, unginned",691.92,22.08,29.92,41681.11,2139664.12,46860
2016,2016-01-01,Sesame seed,801.73,21.75,29.36,47421.33,2186326.67,6598
2017,2017-01-01,Sesame seed,795.08,22.03,29.75,50801.94,2139573.61,7206
2018,2018-01-01,Sesame seed,783.02,21.66,29.18,53144.44,2140490.9,7279
2019,2019-01-01,Sesame seed,721.02,21.88,29.46,48989.2,2086911.73,7061
2020,2020-01-01,Sesame seed,691.92,22.08,29.92,41681.11,2139664.12,6607
2016,2016-01-01,"Sisal, raw",801.73,21.75,29.36,47421.33,2186326.67,17038
2017,2017-01-01,"Sisal, raw",795.08,22.03,29.75,50801.94,2139573.61,19828
2018,2018-01-01,"Sisal, raw",783.02,21.66,29.18,53144.44,2140490.9,13210
2019,2019-01-01,"Sisal, raw",721.02,21.88,29.46,48989.2,2086911.73,14874
2020,2020-01-01,"Sisal, raw",691.92,22.08,29.92,41681.11,2139664.12,16240
2016,2016-01-01,Sorghum,801.73,21.75,29.36,47421.33,2186326.67,33085
2017,2017-01-01,Sorghum,795.08,22.03,29.75,50801.94,2139573.61,33990
2018,2018-01-01,Sorghum,783.02,21.66,29.18,53144.44,2140490.9,34840
2019,2019-01-01,Sorghum,721.02,21.88,29.46,48989.2,2086911.73,32858
2020,2020-01-01,Sorghum,691.92,22.08,29.92,41681.11,2139664.12,32357
2016,2016-01-01,Soya beans,801.73,21.75,29.36,47421.33,2186326.67,18327
2017,2017-01-01,Soya beans,795.08,22.03,29.75,50801.94,2139573.61,16486
2018,2018-01-01,Soya beans,783.02,21.66,29.18,53144.44,2140490.9,16997
2019,2019-01-01,Soya beans,721.02,21.88,29.46,48989.2,2086911.73,15938
2020,2020-01-01,Soya beans,691.92,22.08,29.92,41681.11,2139664.12,15672
2016,2016-01-01,Spinach,801.73,21.75,29.36,47421.33,2186326.67,137462
2017,2017-01-01,Spinach,795.08,22.03,29.75,50801.94,2139573.61,188712
2018,2018-01-01,Spinach,783.02,21.66,29.18,53144.44,2140490.9,183920
2019,2019-01-01,Spinach,721.02,21.88,29.46,48989.2,2086911.73,158300
2020,2020-01-01,Spinach,691.92,22.08,29.92,41681.11,2139664.12,172846
2016,2016-01-01,Strawberries,801.73,21.75,29.36,47421.33,2186326.67,422187
2017,2017-01-01,Strawberries,795.08,22.03,29.75,50801.94,2139573.61,475405
2018,2018-01-01,Strawberries,783.02,21.66,29.18,53144.44,2140490.9,478786
2019,2019-01-01,Strawberries,721.02,21.88,29.46,48989.2,2086911.73,524278
2020,2020-01-01,Strawberries,691.92,22.08,29.92,41681.11,2139664.12,431746
2016,2016-01-01,String beans,801.73,21.75,29.36,47421.33,2186326.67,96118
2017,2017-01-01,String beans,795.08,22.03,29.75,50801.94,2139573.61,99408
2018,2018-01-01,String beans,783.02,21.66,29.18,53144.44,2140490.9,99148
2019,2019-01-01,String beans,721.02,21.88,29.46,48989.2,2086911.73,98210
2020,2020-01-01,String beans,691.92,22.08,29.92,41681.11,2139664.12,98915
2016,2016-01-01,Sugar beet,801.73,21.75,29.36,47421.33,2186326.67,129242
2017,2017-01-01,Sugar beet,795.08,22.03,29.75,50801.94,2139573.61,121304
2018,2018-01-01,Sugar beet,783.02,21.66,29.18,53144.44,2140490.9,123824
2019,2019-01-01,Sugar beet,721.02,21.88,29.46,48989.2,2086911.73,124118
2020,2020-01-01,Sugar beet,691.92,22.08,29.92,41681.11,2139664.12,123676
2016,2016-01-01,Sugar cane,801.73,21.75,29.36,47421.33,2186326.67,722701
2017,2017-01-01,Sugar cane,795.08,22.03,29.75,50801.94,2139573.61,737756
2018,2018-01-01,Sugar cane,783.02,21.66,29.18,53144.44,2140490.9,723262
2019,2019-01-01,Sugar cane,721.02,21.88,29.46,48989.2,2086911.73,745418
2020,2020-01-01,Sugar cane,691.92,22.08,29.92,41681.11,2139664.12,694240
2016,2016-01-01,Sunflower seed,801.73,21.75,29.36,47421.33,2186326.67,10513
2017,2017-01-01,Sunflower seed,795.08,22.03,29.75,50801.94,2139573.61,12512
2018,2018-01-01,Sunflower seed,783.02,21.66,29.18,53144.44,2140490.9,14285
2019,2019-01-01,Sunflower seed,721.02,21.88,29.46,48989.2,2086911.73,17679
2020,2020-01-01,Sunflower seed,691.92,22.08,29.92,41681.11,2139664.12,13395
2016,2016-01-01,Sweet potatoes,801.73,21.75,29.36,47421.33,2186326.67,197219
2017,2017-01-01,Sweet potatoes,795.08,22.03,29.75,50801.94,2139573.61,204229
2018,2018-01-01,Sweet potatoes,783.02,21.66,29.18,53144.44,2140490.9,202418
2019,2019-01-01,Sweet potatoes,721.02,21.88,29.46,48989.2,2086911.73,191231
2020,2020-01-01,Sweet potatoes,691.92,22.08,29.92,41681.11,2139664.12,195885
2016,2016-01-01,"Tangerines, mandarins, clementines",801.73,21.75,29.36,47421.33,2186326.67,139102
2017,2017-01-01,"Tangerines, mandarins, clementines",795.08,22.03,29.75,50801.94,2139573.61,145159
2018,2018-01-01,"Tangerines, mandarins, clementines",783.02,21.66,29.18,53144.44,2140490.9,151204
2019,2019-01-01,"Tangerines, mandarins, clementines",721.02,21.88,29.46,48989.2,2086911.73,141836
2020,2020-01-01,"Tangerines, mandarins, clementines",691.92,22.08,29.92,41681.11,2139664.12,146900
2016,2016-01-01,Tomatoes,801.73,21.75,29.36,47421.33,2186326.67,433427
2017,2017-01-01,Tomatoes,795.08,22.03,29.75,50801.94,2139573.61,456277
2018,2018-01-01,Tomatoes,783.02,21.66,29.18,53144.44,2140490.9,504786
2019,2019-01-01,Tomatoes,721.02,21.88,29.46,48989.2,2086911.73,485903
2020,2020-01-01,Tomatoes,691.92,22.08,29.92,41681.11,2139664.12,487170
2016,2016-01-01,Triticale,801.73,21.75,29.36,47421.33,2186326.67,31293
2017,2017-01-01,Triticale,795.08,22.03,29.75,50801.94,2139573.61,27508
2018,2018-01-01,Triticale,783.02,21.66,29.18,53144.44,2140490.9,22775
2019,2019-01-01,Triticale,721.02,21.88,29.46,48989.2,2086911.73,28107
2020,2020-01-01,Triticale,691.92,22.08,29.92,41681.11,2139664.12,27764
2016,2016-01-01,Unmanufactured tobacco,801.73,21.75,29.36,47421.33,2186326.67,22534
2017,2017-01-01,Unmanufactured tobacco,795.08,22.03,29.75,50801.94,2139573.61,22875
2018,2018-01-01,Unmanufactured tobacco,783.02,21.66,29.18,53144.44,2140490.9,23170
2019,2019-01-01,Unmanufactured tobacco,721.02,21.88,29.46,48989.2,2086911.73,24867
2020,2020-01-01,Unmanufactured tobacco,691.92,22.08,29.92,41681.11,2139664.12,21004
2016,2016-01-01,"Vanilla, raw",801.73,21.75,29.36,47421.33,2186326.67,5240
2017,2017-01-01,"Vanilla, raw",795.08,22.03,29.75,50801.94,2139573.61,5376
2018,2018-01-01,"Vanilla, raw",783.02,21.66,29.18,53144.44,2140490.9,5716
2019,2019-01-01,"Vanilla, raw",721.02,21.88,29.46,48989.2,2086911.73,6056
2020,2020-01-01,"Vanilla, raw",691.92,22.08,29.92,41681.11,2139664.12,5691
2016,2016-01-01,Vetches,801.73,21.75,29.36,47421.33,2186326.67,128498
2017,2017-01-01,Vetches,795.08,22.03,29.75,50801.94,2139573.61,115812
2018,2018-01-01,Vetches,783.02,21.66,29.18,53144.44,2140490.9,121560
2019,2019-01-01,Vetches,721.02,21.88,29.46,48989.2,2086911.73,125071
2020,2020-01-01,Vetches,691.92,22.08,29.92,41681.11,2139664.12,120216
2016,2016-01-01,"Walnuts, in shell",801.73,21.75,29.36,47421.33,2186326.67,16982
2017,2017-01-01,"Walnuts, in shell",795.08,22.03,29.75,50801.94,2139573.61,16314
2018,2018-01-01,"Walnuts, in shell",783.02,21.66,29.18,53144.44,2140490.9,16462
2019,2019-01-01,"Walnuts, in shell",721.02,21.88,29.46,48989.2,2086911.73,16790
2020,2020-01-01,"Walnuts, in shell",691.92,22.08,29.92,41681.11,2139664.12,15137
2016,2016-01-01,Watermelons,801.73,21.75,29.36,47421.33,2186326.67,310211
2017,2017-01-01,Watermelons,795.08,22.03,29.75,50801.94,2139573.61,321449
2018,2018-01-01,Watermelons,783.02,21.66,29.18,53144.44,2140490.9,358106
2019,2019-01-01,Watermelons,721.02,21.88,29.46,48989.2,2086911.73,342010
2020,2020-01-01,Watermelons,691.92,22.08,29.92,41681.11,2139664.12,348278
2016,2016-01-01,Wheat,801.73,21.75,29.36,47421.33,2186326.67,53388
2017,2017-01-01,Wheat,795.08,22.03,29.75,50801.94,2139573.61,52967
2018,2018-01-01,Wheat,783.02,21.66,29.18,53144.44,2140490.9,54373
2019,2019-01-01,Wheat,721.02,21.88,29.46,48989.2,2086911.73,55308
2020,2020-01-01,Wheat,691.92,22.08,29.92,41681.11,2139664.12,53212
2016,2016-01-01,Yautia,801.73,21.75,29.36,47421.33,2186326.67,594265
2017,2017-01-01,Yautia,795.08,22.03,29.75,50801.94,2139573.61,665217
2018,2018-01-01,Yautia,783.02,21.66,29.18,53144.44,2140490.9,774343
2019,2019-01-01,Yautia,721.02,21.88,29.46,48989.2,2086911.73,749544
2020,2020-01-01,Yautia,691.92,22.08,29.92,41681.11,2139664.12,687706
